S/N,RegNo,CAT(40%),EXAM(60%)
1,U19CS1001,17,43
2,U19CS1002,18,11
3,U19CS1003,15,ABS
4,U19CS1004,11,16
5,U19CS1005,15,47
6,U19CS1006,15,52
7,U19CS1007,14,37
8,U19CS1008,19,36
9,U19CS1009,15,25
10,U19CS1010,16,16
11,U19CS1011,16,25
12,U19CS1012,16,31
13,U19CS1013,15,61
14,U19CS1014,16,5
15,U19CS1015,16,31
16,U19CS1016,21,35
17,U19CS1017,16,30
18,U19CS1018,17,27
19,U19CS1019,10,31
20,U19CS1020,17,28
21,U19CS1021,17,23
22,U19CS1022,15,15
23,U19CS1023,17,23
24,U19CS1024,25,66
25,U19CS1025,19,57
26,U19CS1026,18,32
27,U19CS1027,15,18
28,U19CS1028,19,21
29,U19CS1029,20,50
30,U19CS1030,18,32
31,U19CS1031,18,22
32,U19CS1032,18,47
33,U19CS1033,14,37
34,U19CS1034,19,31
35,U19CS1035,20,50
36,U19CS1036,17,25
37,U19CS1037,21,49
38,U19CS1038,16,28
39,U19CS1039,17,ABS
40,U19CS1040,16,55
41,U19CS1041,17,23
42,U19CS1042,21,39
43,U19CS1043,16,9
44,U19CS1044,18,22
45,U19CS1045,15,17
46,U19CS1046,13,10
47,U19CS1047,16,49
48,U19CS1048,15,37
49,U19CS1049,16,41
50,U19CS1050,10,11
51,U19CS1051,17,45
52,U19CS1052,16,28
53,U19CS1053,18,22
54,U19CS1054,22,42
55,U19CS1055,16,5
56,U19CS1056,14,39
57,U19CS1057,16,44
58,U19CS1058,15,37
59,U19CS1059,13,14
60,U19CS1060,20,46
61,U19CS1061,17,24
62,U19CS1062,13,12
63,U19CS1063,14,32
64,U19CS1064,14,20
65,U19CS1065,15,25
66,U19CS1066,16,24
67,U19CS1067,21,55
68,U19CS1068,16,29
69,U19CS1069,14,26
70,U19CS1070,19,44
71,U19CS1071,18,32
72,U19CS1072,15,45
73,U19CS1073,13,12
74,U19CS1074,16,35
75,U19CS1075,17,27
76,U19CS1076,ABS,ABS
77,U19CS1077,18,32
78,U19CS1078,13,9
79,U19CS1079,18,22
80,U19CS1080,18,32
81,U19CS1081,15,17
82,U19CS1082,16,27
83,U19CS1083,18,28
84,U19CS1084,15,26
85,U19CS1085,16,26
86,U19CS1086,15,35
87,U19CS1087,15,7
88,U19CS1088,15,18
89,U19CS1089,17,23
90,U19CS1090,13,19
91,U19CS1091,19,45
92,U19CS1092,17,16
93,U19CS1093,17,39
94,U19CS1094,17,25
95,U19CS1095,19,21
96,U19CS1096,17,40
97,U19CS1097,17,23
98,U19CS1098,15,ABS
99,U19CS1099,16,17
100,U19CS1100,17,55
101,U19CS1101,17,38
102,U19CS1102,11,14
103,U19CS1103,15,58
104,U19CS1104,18,22
105,U19CS1105,15,37
106,U19CS1106,14,20
107,U19CS1107,15,25
108,U19CS1108,18,32
109,U19CS1109,18,22
110,U19CS1110,18,52
111,U19CS1111,14,17
112,U19CS1112,19,21
113,U19CS1113,17,17
114,U19CS1114,16,32
115,U19CS1115,18,38
116,U19CS1116,14,33
117,U19CS1117,17,11
118,U19CS1118,14,37
119,U19CS1119,14,32
120,U19CS1120,12,49
121,U19CS1121,19,31
122,U19CS1122,15,51
123,U19CS1123,13,33
124,U19CS1124,20,20
125,U19CS1125,21,26
126,U19CS1126,17,41
127,U19CS1127,19,43
128,U19CS1128,12,32
129,U19CS1129,19,21
130,U19CS1130,18,25
131,U19CS1131,20,40
132,U19CS1132,15,46
133,U19CS1133,17,29
